order_id,customer_id,order_date,order_value,product_category,order_status,shipping_cost,discount_amount,payment_processing_fee,product_cost,delivery_days,customer_rating,was_promoted,referral_used,net_revenue
50327,10075,2024-03-25,53.38,Electronics,Delivered,6.11,0.0,1.55,40.04,2.0,3.0,No,No,5.68
50168,10042,2024-03-25,111.93,Home & Garden,Delivered,4.97,0.0,3.25,67.16,1.0,,No,No,36.55
50102,10028,2024-03-25,44.05,Beauty,Failed,14.47,0.0,1.28,19.82,,,No,No,8.48
50163,10041,2024-03-25,71.75,Food & Beverage,Delivered,8.24,0.0,2.08,46.64,14.0,5.0,No,No,14.79
50337,10078,2024-03-26,27.54,Home & Garden,Delivered,9.29,0.0,0.8,16.52,5.0,,No,No,0.93
50098,10027,2024-03-26,73.51,Home & Garden,Delivered,14.61,27.84,2.13,44.11,7.0,4.0,Yes,No,40.5
50015,10007,2024-03-27,52.58,Food & Beverage,Delivered,15.33,0.0,1.52,34.18,9.0,5.0,No,No,1.55
50294,10066,2024-03-27,70.73,Home & Garden,Delivered,24.63,22.22,2.05,42.44,10.0,2.0,Yes,No,23.83
50551,10114,2024-03-27,62.46,Sports,Delivered,2.25,17.57,1.81,36.23,4.0,,Yes,No,39.74
50503,10104,2024-03-28,125.04,Beauty,Delivered,8.85,11.35,3.63,56.27,11.0,,Yes,No,67.64
50183,10045,2024-03-28,151.29,Electronics,Cancelled,5.87,24.42,4.39,113.47,,3.0,Yes,No,51.98
50257,10060,2024-03-28,61.18,Beauty,Delivered,9.47,0.0,1.77,27.53,3.0,,No,No,22.41
50215,10052,2024-03-28,98.96,Sports,Delivered,17.05,9.34,2.87,57.4,12.0,2.0,Yes,No,30.98
50692,10142,2024-03-29,98.34,Books,Delivered,20.34,13.78,2.85,49.17,8.0,,Yes,No,39.76
50096,10026,2024-03-29,41.53,Sports,Delivered,21.05,0.0,1.2,24.09,8.0,2.0,No,No,-4.81
50237,10056,2024-03-29,91.49,Books,Delivered,6.85,0.0,2.65,45.74,4.0,,No,No,36.25
50240,10058,2024-03-29,112.72,Fashion,Failed,9.57,0.0,3.27,62.0,,3.0,No,No,37.88
50243,10058,2024-03-29,131.91,Electronics,Cancelled,6.12,0.0,3.83,98.93,,5.0,No,No,23.03
50152,10038,2024-03-29,33.81,Beauty,Delivered,24.8,0.0,0.98,15.21,7.0,4.0,No,No,-7.18
50318,10074,2024-03-29,69.54,Food & Beverage,Delivered,10.86,0.0,2.02,45.2,8.0,3.0,No,No,11.46
50314,10072,2024-03-29,66.64,Books,Delivered,18.16,0.0,1.93,33.32,5.0,5.0,No,No,13.23
50029,10010,2024-03-30,60.66,Beauty,Delivered,12.04,7.69,1.76,27.3,12.0,,Yes,No,27.25
50121,10033,2024-03-30,69.88,Books,Cancelled,9.46,11.32,2.03,34.94,,5.0,Yes,No,34.77
50594,10122,2024-03-30,89.7,Electronics,Cancelled,6.51,0.0,2.6,67.28,,3.0,No,No,13.31
50453,10098,2024-03-30,167.4,Beauty,Delivered,13.5,8.12,4.85,75.33,2.0,5.0,Yes,No,81.84
50182,10044,2024-03-30,45.03,Fashion,Delivered,9.02,26.19,1.31,24.77,9.0,5.0,Yes,No,36.12
50666,10135,2024-03-30,44.0,Beauty,Delivered,0.26,0.0,1.28,19.8,6.0,4.0,No,No,22.66
50306,10069,2024-03-30,59.04,Food & Beverage,Delivered,17.28,9.93,1.71,38.38,12.0,2.0,Yes,No,11.6
50710,10145,2024-03-31,73.33,Sports,Returned,19.52,18.08,2.13,42.53,,4.0,Yes,No,27.23
50161,10039,2024-03-31,117.55,Beauty,Delivered,8.02,13.61,3.41,52.9,9.0,3.0,Yes,No,66.83
50108,10030,2024-03-31,53.69,Beauty,Returned,8.14,0.0,1.56,24.16,,5.0,No,No,19.83
50433,10095,2024-03-31,247.18,Books,Delivered,8.69,21.03,7.17,123.59,3.0,2.0,Yes,No,128.76
50082,10023,2024-03-31,97.77,Electronics,Delivered,22.94,0.0,2.84,73.33,3.0,4.0,No,No,-1.34
50525,10108,2024-03-31,96.14,Food & Beverage,In Transit,2.82,0.0,2.79,62.49,,5.0,No,No,28.04
50282,10064,2024-04-01,66.7,Food & Beverage,Delivered,17.0,0.0,1.93,43.36,7.0,1.0,No,No,4.41
50224,10054,2024-04-01,78.44,Electronics,Delivered,16.2,11.4,2.27,58.83,13.0,5.0,Yes,No,12.54
50004,10002,2024-04-01,78.8,Electronics,Delivered,1.22,28.55,2.29,59.1,14.0,,Yes,No,44.74
50675,10140,2024-04-01,38.19,Electronics,Delivered,18.34,0.0,1.11,28.64,3.0,,No,No,-9.9
50095,10025,2024-04-02,37.52,Books,Delivered,9.98,7.42,1.09,18.76,3.0,2.0,Yes,Yes,15.11
50673,10138,2024-04-02,138.53,Sports,Cancelled,4.0,19.99,4.02,80.35,,3.0,Yes,No,70.15
50629,10128,2024-04-02,168.18,Home & Garden,Delivered,5.04,0.0,4.88,100.91,4.0,5.0,No,No,57.35
50793,10162,2024-04-02,113.93,Food & Beverage,Delivered,4.33,0.0,3.3,74.05,14.0,,No,No,32.25
50619,10126,2024-04-02,26.39,Home & Garden,Cancelled,22.2,19.3,0.77,15.83,,3.0,Yes,No,6.89
50598,10124,2024-04-02,135.64,Books,Delivered,0.3,0.0,3.93,67.82,11.0,5.0,No,No,63.59
50455,10098,2024-04-02,109.6,Fashion,Delivered,9.34,0.0,3.18,60.28,10.0,,No,No,36.8
50773,10158,2024-04-03,49.03,Electronics,Delivered,22.18,16.3,1.42,36.77,11.0,4.0,Yes,No,4.96
50533,10110,2024-04-03,44.35,Books,Delivered,24.42,0.0,1.29,22.18,10.0,2.0,No,No,-3.54
50220,10053,2024-04-03,124.13,Electronics,Delivered,7.56,28.83,3.6,93.1,5.0,,Yes,No,48.7
50200,10050,2024-04-03,71.59,Books,Delivered,14.61,0.0,2.08,35.8,1.0,5.0,No,No,19.1
50310,10071,2024-04-03,91.89,Food & Beverage,Cancelled,0.61,0.0,2.66,59.73,,3.0,No,No,28.89
50280,10064,2024-04-04,48.59,Beauty,Delivered,0.54,0.0,1.41,21.87,2.0,,No,No,24.77
50972,10200,2024-04-04,115.36,Electronics,Delivered,11.03,7.62,3.35,86.52,1.0,5.0,Yes,No,22.08
50621,10127,2024-04-04,57.71,Home & Garden,Delivered,11.53,20.81,1.67,34.63,13.0,2.0,Yes,No,30.69
50052,10015,2024-04-04,94.99,Home & Garden,Delivered,3.19,0.0,2.75,56.99,6.0,2.0,No,No,32.06
50085,10023,2024-04-04,91.86,Sports,Delivered,1.4,12.53,2.66,53.28,6.0,4.0,Yes,No,47.05
50540,10112,2024-04-04,128.29,Fashion,Returned,9.58,19.68,3.72,70.56,,5.0,Yes,No,64.11
50653,10133,2024-04-04,47.18,Books,In Transit,15.86,0.0,1.37,23.59,,5.0,No,No,6.36
51059,10220,2024-04-05,79.05,Home & Garden,Delivered,18.46,0.0,2.29,47.43,10.0,,No,No,10.87
50206,10051,2024-04-05,71.32,Books,Delivered,6.74,16.81,2.07,35.66,1.0,3.0,Yes,No,43.66
50363,10083,2024-04-05,147.65,Food & Beverage,Delivered,5.71,0.0,4.28,95.97,13.0,5.0,No,No,41.69
50964,10199,2024-04-05,81.73,Electronics,Delivered,3.03,0.0,2.37,61.3,2.0,2.0,No,No,15.03
50646,10130,2024-04-05,72.35,Home & Garden,Delivered,3.67,0.0,2.1,43.41,2.0,,No,Yes,23.17
50411,10091,2024-04-05,104.95,Food & Beverage,Cancelled,0.52,0.0,3.04,68.22,,4.0,No,No,33.17
50649,10131,2024-04-05,45.63,Food & Beverage,Delivered,5.73,29.51,1.32,29.66,14.0,1.0,Yes,No,38.43
50490,10102,2024-04-05,101.27,Sports,Delivered,9.91,0.0,2.94,58.74,9.0,,No,No,29.68
50267,10061,2024-04-05,83.84,Fashion,Cancelled,19.02,0.0,2.43,46.11,,,No,No,16.28
50597,10123,2024-04-05,92.16,Electronics,Delivered,7.97,0.0,2.67,69.12,7.0,2.0,No,No,12.4
50667,10137,2024-04-05,69.63,Fashion,Delivered,4.8,0.0,2.02,38.3,5.0,4.0,No,No,24.51
51006,10208,2024-04-05,283.65,Electronics,Cancelled,14.02,20.71,8.23,212.74,,5.0,Yes,No,69.37
51004,10207,2024-04-05,39.91,Beauty,Delivered,13.11,6.37,1.16,17.96,11.0,1.0,Yes,No,14.05
50830,10169,2024-04-05,51.92,Beauty,Delivered,21.11,0.0,1.51,23.36,4.0,1.0,No,No,5.94
50199,10049,2024-04-06,134.46,Food & Beverage,Delivered,8.55,0.0,3.9,87.4,10.0,,No,No,34.61
50195,10047,2024-04-06,59.83,Books,Delivered,18.76,0.0,1.74,29.91,7.0,,No,No,9.42
50806,10165,2024-04-06,38.18,Books,Delivered,13.74,0.0,1.11,19.09,2.0,2.0,No,No,4.24
50761,10156,2024-04-06,93.54,Fashion,Delivered,14.64,0.0,2.71,51.45,12.0,5.0,No,No,24.74
50836,10170,2024-04-06,97.18,Home & Garden,Delivered,22.14,0.0,2.82,58.31,9.0,,No,No,13.91
50428,10094,2024-04-06,173.78,Home & Garden,Delivered,11.91,25.51,5.04,104.27,6.0,4.0,Yes,No,78.07
50075,10021,2024-04-06,111.08,Home & Garden,Delivered,4.14,0.0,3.22,66.65,12.0,4.0,No,No,37.07
50403,10088,2024-04-06,96.77,Food & Beverage,Delivered,13.69,0.0,2.81,62.9,3.0,3.0,No,No,17.37
50234,10055,2024-04-07,35.43,Beauty,Delivered,14.7,0.0,1.03,15.94,1.0,4.0,No,No,3.76
50755,10155,2024-04-07,56.79,Food & Beverage,Delivered,2.56,0.0,1.65,36.91,1.0,,No,No,15.67
50894,10183,2024-04-07,32.1,Food & Beverage,Delivered,7.34,23.92,0.93,20.87,4.0,2.0,Yes,No,26.88
50449,10097,2024-04-07,53.55,Beauty,Returned,8.1,0.0,1.55,24.1,,,No,No,19.8
51001,10205,2024-04-07,65.48,Sports,Delivered,15.19,28.24,1.9,37.98,7.0,5.0,Yes,No,38.65
50817,10167,2024-04-07,66.03,Fashion,Delivered,17.11,0.0,1.91,36.32,4.0,5.0,No,No,10.69
50572,10117,2024-04-07,222.28,Food & Beverage,Delivered,7.98,12.03,6.45,144.48,6.0,,Yes,No,75.4
50632,10128,2024-04-07,79.34,Home & Garden,Delivered,7.14,0.0,2.3,47.6,8.0,5.0,No,No,22.3
51055,10219,2024-04-07,31.84,Home & Garden,Delivered,2.46,0.0,0.92,19.1,2.0,1.0,No,No,9.36
50270,10062,2024-04-07,51.66,Electronics,Delivered,23.28,0.0,1.5,38.74,9.0,2.0,No,No,-11.86
50764,10157,2024-04-07,101.76,Home & Garden,Delivered,1.83,0.0,2.95,61.06,1.0,4.0,No,No,35.92
50341,10079,2024-04-08,63.67,Books,Delivered,22.26,0.0,1.85,31.84,6.0,5.0,No,No,7.72
50025,10009,2024-04-08,85.97,Fashion,Delivered,7.53,25.71,2.49,47.28,5.0,1.0,Yes,No,54.38
50897,10183,2024-04-08,68.32,Sports,Delivered,14.67,0.0,1.98,39.63,1.0,4.0,No,No,12.04
50564,10116,2024-04-08,35.5,Home & Garden,Delivered,10.93,0.0,1.03,21.3,5.0,5.0,No,No,2.24
50329,10077,2024-04-09,58.69,Sports,Delivered,15.76,0.0,1.7,34.04,14.0,4.0,No,No,7.19
50587,10121,2024-04-09,171.58,Beauty,Delivered,4.0,19.7,4.98,77.21,4.0,1.0,Yes,No,105.09
51038,10212,2024-04-09,75.52,Fashion,Returned,5.04,0.0,2.19,41.54,,3.0,No,No,26.75
50681,10141,2024-04-09,155.84,Fashion,Delivered,5.37,0.0,4.52,85.71,5.0,5.0,No,No,60.24
51149,10241,2024-04-09,38.0,Food & Beverage,Delivered,13.05,16.81,1.1,24.7,1.0,3.0,Yes,No,15.96
50634,10129,2024-04-09,48.6,Food & Beverage,Delivered,3.51,0.0,1.41,31.59,8.0,4.0,No,No,12.09
50115,10031,2024-04-09,64.51,Sports,Delivered,4.98,0.0,1.87,37.42,14.0,,No,No,20.24
50934,10191,2024-04-10,138.42,Sports,Cancelled,6.92,0.0,4.01,80.28,,4.0,No,No,47.21
50693,10143,2024-04-10,55.01,Books,Delivered,24.27,0.0,1.6,27.5,2.0,3.0,No,No,1.64
50356,10082,2024-04-10,90.99,Electronics,Delivered,3.6,0.0,2.64,68.24,14.0,5.0,No,Yes,16.51
50346,10081,2024-04-10,61.92,Electronics,Delivered,14.37,0.0,1.8,46.44,2.0,4.0,No,No,-0.69
50067,10019,2024-04-10,298.06,Food & Beverage,Cancelled,9.12,29.99,8.64,193.74,,5.0,Yes,No,116.55
51257,10266,2024-04-10,199.62,Food & Beverage,Cancelled,10.18,0.0,5.79,129.75,,5.0,No,No,53.9
51060,10221,2024-04-10,44.36,Food & Beverage,Delivered,11.79,0.0,1.29,28.83,2.0,,No,No,2.45
50388,10086,2024-04-10,45.96,Sports,Delivered,20.22,12.15,1.33,26.66,9.0,5.0,Yes,No,9.9
50303,10068,2024-04-10,102.99,Sports,Delivered,2.01,17.64,2.99,59.73,9.0,4.0,Yes,No,55.9
51169,10249,2024-04-10,187.99,Sports,Delivered,13.4,28.62,5.45,109.03,4.0,3.0,Yes,No,88.73
50650,10132,2024-04-11,95.36,Food & Beverage,Delivered,2.54,0.0,2.77,61.98,13.0,5.0,No,No,28.07
50380,10084,2024-04-11,81.65,Books,Delivered,12.18,0.0,2.37,40.83,4.0,2.0,No,No,26.27
50607,10126,2024-04-11,76.94,Fashion,Delivered,24.53,14.76,2.23,42.32,10.0,,Yes,No,22.62
50718,10146,2024-04-11,177.46,Food & Beverage,Delivered,11.15,25.04,5.15,115.35,4.0,5.0,Yes,No,70.85
51163,10246,2024-04-11,78.01,Home & Garden,Delivered,0.67,0.0,2.26,46.81,2.0,3.0,No,No,28.27
50869,10180,2024-04-11,70.26,Electronics,Returned,18.72,0.0,2.04,52.7,,4.0,No,No,-3.2
50520,10108,2024-04-11,99.54,Sports,Cancelled,16.84,25.27,2.89,57.73,,,Yes,No,47.35
51042,10214,2024-04-11,105.32,Sports,Cancelled,10.02,0.0,3.05,61.09,,1.0,No,No,31.16
51071,10224,2024-04-11,31.38,Food & Beverage,Delivered,10.1,0.0,0.91,20.4,13.0,,No,No,-0.03
50623,10127,2024-04-11,38.36,Beauty,Delivered,13.83,12.43,1.11,17.26,8.0,2.0,Yes,No,18.59
50069,10019,2024-04-11,205.02,Electronics,Delivered,10.26,0.0,5.95,153.77,7.0,4.0,No,No,35.04
50469,10098,2024-04-12,249.7,Books,Delivered,10.12,0.0,7.24,124.85,5.0,,No,No,107.49
50815,10166,2024-04-12,50.41,Home & Garden,Delivered,6.57,0.0,1.46,30.25,4.0,,No,No,12.13
50249,10059,2024-04-12,165.93,Beauty,Delivered,1.85,0.0,4.81,74.67,1.0,,No,Yes,84.6
51063,10222,2024-04-12,167.34,Fashion,Delivered,9.74,0.0,4.85,92.04,5.0,5.0,No,Yes,60.71
50865,10178,2024-04-12,57.94,Fashion,Cancelled,24.58,0.0,1.68,31.87,,4.0,No,No,-0.19
50732,10150,2024-04-13,87.52,Home & Garden,Returned,21.09,0.0,2.54,52.51,,4.0,No,No,11.38
51394,10294,2024-04-13,91.35,Fashion,Returned,3.98,0.0,2.65,50.24,,4.0,No,No,34.48
50487,10101,2024-04-13,48.99,Electronics,Returned,1.7,0.0,1.42,36.74,,1.0,No,No,9.13
50835,10169,2024-04-13,92.98,Books,Delivered,22.99,0.0,2.7,46.49,8.0,5.0,No,No,20.8
50959,10198,2024-04-13,38.87,Books,Delivered,21.23,0.0,1.13,19.43,7.0,5.0,No,No,-2.92
51047,10215,2024-04-14,132.56,Fashion,Delivered,10.41,0.0,3.84,72.91,7.0,5.0,No,No,45.4
51065,10222,2024-04-14,121.91,Fashion,Delivered,13.63,0.0,3.54,67.05,11.0,,No,Yes,37.69
50058,10015,2024-04-14,51.16,Beauty,In Transit,14.61,19.28,1.48,23.02,,4.0,Yes,No,31.33
50419,10093,2024-04-14,92.39,Beauty,Delivered,3.05,0.0,2.68,41.58,10.0,5.0,No,Yes,45.08
50674,10139,2024-04-14,111.6,Electronics,Failed,2.41,12.42,3.24,83.7,,2.0,Yes,No,34.67
50703,10144,2024-04-14,57.17,Books,Delivered,15.84,0.0,1.66,28.59,4.0,,No,No,11.08
50994,10204,2024-04-14,36.46,Sports,Delivered,7.77,0.0,1.06,21.15,12.0,5.0,No,No,6.48
51354,10287,2024-04-14,50.9,Fashion,Cancelled,22.88,0.0,1.48,28.0,,5.0,No,No,-1.46
50443,10096,2024-04-14,208.4,Electronics,Delivered,1.74,28.56,6.04,156.3,1.0,4.0,Yes,No,72.88
50483,10099,2024-04-14,39.09,Beauty,Delivered,19.65,0.0,1.13,17.59,12.0,4.0,No,No,0.72
50489,10101,2024-04-14,60.33,Electronics,Delivered,5.59,26.73,1.75,45.25,3.0,3.0,Yes,No,34.47
51297,10272,2024-04-14,42.6,Fashion,Returned,0.68,0.0,1.24,23.43,,2.0,No,No,17.25
50390,10086,2024-04-15,44.54,Sports,Delivered,23.15,24.15,1.29,25.83,1.0,4.0,Yes,No,18.42
51091,10229,2024-04-15,44.89,Books,Delivered,5.78,28.47,1.3,22.45,14.0,1.0,Yes,No,43.83
51400,10295,2024-04-15,221.94,Beauty,Delivered,9.71,14.6,6.44,99.87,13.0,5.0,Yes,Yes,120.52
50087,10024,2024-04-15,74.37,Food & Beverage,Delivered,24.08,0.0,2.16,48.34,13.0,4.0,No,No,-0.21
51381,10291,2024-04-15,70.36,Home & Garden,Delivered,20.92,0.0,2.04,42.22,6.0,1.0,No,No,5.18
51003,10206,2024-04-15,34.65,Books,Delivered,10.18,0.0,1.0,17.32,1.0,3.0,No,No,6.15
50928,10190,2024-04-15,54.22,Electronics,Delivered,6.76,0.0,1.57,40.66,7.0,5.0,No,No,5.23
50532,10109,2024-04-15,71.58,Electronics,In Transit,16.12,10.86,2.08,53.69,,,Yes,No,10.55
50302,10067,2024-04-15,143.56,Home & Garden,Delivered,5.95,0.0,4.16,86.14,7.0,4.0,No,No,47.31
50856,10176,2024-04-15,132.35,Home & Garden,Delivered,11.95,0.0,3.84,79.41,10.0,,No,No,37.15
51301,10274,2024-04-15,49.73,Electronics,Delivered,16.74,9.4,1.44,37.3,5.0,4.0,Yes,No,3.65
50426,10093,2024-04-15,66.89,Fashion,Delivered,22.94,17.28,1.94,36.79,9.0,5.0,Yes,No,22.5
51389,10293,2024-04-15,72.84,Home & Garden,Delivered,11.8,0.0,2.11,43.7,6.0,5.0,No,No,15.23
50343,10079,2024-04-16,49.97,Books,Delivered,1.57,0.0,1.45,24.98,9.0,3.0,No,No,21.97
51361,10287,2024-04-16,62.8,Sports,Delivered,2.39,0.0,1.82,36.42,12.0,3.0,No,No,22.17
51581,10334,2024-04-16,112.07,Electronics,Delivered,0.32,12.52,3.25,84.05,7.0,5.0,Yes,No,36.97
50416,10092,2024-04-16,129.44,Books,Delivered,5.92,0.0,3.75,64.72,1.0,,No,No,55.05
51467,10307,2024-04-16,54.72,Home & Garden,Delivered,0.9,0.0,1.59,32.83,12.0,,No,No,19.4
50725,10149,2024-04-16,43.56,Food & Beverage,In Transit,21.48,12.52,1.26,28.31,,,Yes,No,5.03
51552,10325,2024-04-16,95.08,Home & Garden,Delivered,8.69,0.0,2.76,57.05,4.0,,No,No,26.58
50914,10188,2024-04-16,165.31,Electronics,Delivered,14.46,0.0,4.79,123.98,7.0,5.0,No,No,22.08
50800,10163,2024-04-16,63.41,Fashion,Delivered,7.43,0.0,1.84,34.88,4.0,,No,No,19.26
50512,10105,2024-04-16,71.3,Electronics,Returned,0.65,0.0,2.07,53.47,,2.0,No,No,15.11
51484,10313,2024-04-16,143.05,Fashion,Delivered,5.6,0.0,4.15,78.68,11.0,2.0,No,No,54.62
51329,10284,2024-04-16,145.4,Fashion,Delivered,6.54,12.57,4.22,79.97,11.0,,Yes,No,67.24
50283,10064,2024-04-16,60.51,Electronics,Delivered,14.13,0.0,1.75,45.38,8.0,3.0,No,No,-0.75
50287,10065,2024-04-16,135.65,Electronics,Returned,3.22,0.0,3.93,101.74,,5.0,No,No,26.76
50604,10125,2024-04-16,110.35,Beauty,Delivered,14.59,0.0,3.2,49.66,1.0,4.0,No,No,42.9
51559,10327,2024-04-17,67.58,Sports,Failed,6.58,23.89,1.96,39.2,,,Yes,No,43.73
50566,10116,2024-04-17,41.6,Beauty,Delivered,23.8,0.0,1.21,18.72,5.0,4.0,No,No,-2.13
51218,10259,2024-04-17,120.87,Home & Garden,Delivered,10.94,13.92,3.51,72.52,10.0,2.0,Yes,No,47.82
50721,10147,2024-04-17,74.94,Sports,Cancelled,4.36,29.67,2.17,43.47,,2.0,Yes,No,54.61
50238,10057,2024-04-17,121.21,Books,Delivered,3.09,0.0,3.52,60.6,10.0,3.0,No,No,54.0
51410,10297,2024-04-17,140.88,Home & Garden,Delivered,0.93,0.0,4.09,84.53,4.0,,No,No,51.33
50916,10189,2024-04-17,32.86,Beauty,In Transit,9.61,0.0,0.95,14.79,,,No,No,7.51
50315,10073,2024-04-17,25.69,Sports,Delivered,15.25,0.0,0.75,14.9,4.0,3.0,No,No,-5.21
50644,10130,2024-04-17,85.17,Fashion,Delivered,21.74,0.0,2.47,46.84,2.0,2.0,No,No,14.12
50900,10184,2024-04-17,60.62,Food & Beverage,Delivered,6.54,0.0,1.76,39.4,9.0,5.0,No,No,12.92
51198,10257,2024-04-17,77.8,Home & Garden,Delivered,23.62,21.51,2.26,46.68,3.0,,Yes,No,26.75
50305,10068,2024-04-17,77.36,Electronics,Delivered,17.79,27.77,2.24,58.02,5.0,,Yes,Yes,27.08
51104,10233,2024-04-17,36.11,Electronics,Delivered,19.33,0.0,1.05,27.08,14.0,,No,No,-11.35
51561,10329,2024-04-18,73.59,Fashion,Returned,2.26,0.0,2.13,40.47,,5.0,No,No,28.73
50408,10090,2024-04-18,67.93,Beauty,Delivered,16.26,0.0,1.97,30.57,8.0,,No,No,19.13
50786,10162,2024-04-18,94.95,Electronics,Delivered,23.45,5.89,2.75,71.21,4.0,1.0,Yes,No,3.43
51235,10262,2024-04-18,55.82,Books,Delivered,24.01,19.43,1.62,27.91,9.0,,Yes,No,21.71
50724,10148,2024-04-18,142.85,Fashion,Delivered,5.55,23.89,4.14,78.57,4.0,3.0,Yes,No,78.48
51180,10252,2024-04-18,145.9,Beauty,Delivered,2.6,0.0,4.23,65.66,4.0,5.0,No,No,73.41
50663,10135,2024-04-18,55.25,Home & Garden,Delivered,11.43,0.0,1.6,33.15,1.0,4.0,No,No,9.07
50902,10185,2024-04-18,243.38,Beauty,Delivered,5.11,0.0,7.06,109.52,14.0,,No,No,121.69
51271,10267,2024-04-18,113.9,Electronics,Delivered,7.79,22.21,3.3,85.43,1.0,4.0,Yes,No,39.59
51179,10251,2024-04-18,231.81,Books,Delivered,14.84,28.41,6.72,115.91,2.0,,Yes,No,122.75
51488,10314,2024-04-18,60.84,Food & Beverage,Delivered,16.73,0.0,1.76,39.55,9.0,,No,No,2.8
51109,10236,2024-04-18,56.12,Home & Garden,Delivered,19.62,0.0,1.63,33.67,5.0,3.0,No,No,1.2
50584,10120,2024-04-18,45.28,Sports,Delivered,3.1,0.0,1.31,26.26,4.0,5.0,No,No,14.61
51041,10213,2024-04-19,36.93,Electronics,Delivered,2.95,0.0,1.07,27.7,1.0,,No,No,5.21
51291,10270,2024-04-19,120.86,Food & Beverage,Delivered,5.52,0.0,3.5,78.56,14.0,4.0,No,Yes,33.28
51315,10277,2024-04-19,22.82,Fashion,Delivered,13.24,0.0,0.66,12.55,11.0,,No,No,-3.63
51594,10335,2024-04-19,139.68,Home & Garden,Delivered,12.8,0.0,4.05,83.81,1.0,5.0,No,No,39.02
50405,10089,2024-04-19,103.64,Books,Delivered,14.05,0.0,3.01,51.82,11.0,5.0,No,No,34.76
50939,10192,2024-04-19,54.47,Food & Beverage,Delivered,1.08,0.0,1.58,35.41,7.0,,No,No,16.4
51694,10355,2024-04-19,101.56,Food & Beverage,Delivered,13.28,0.0,2.95,66.01,7.0,,No,No,19.32
51640,10345,2024-04-19,49.87,Books,Delivered,23.56,0.0,1.45,24.93,6.0,1.0,No,No,-0.07
