customer_id,signup_date,age,gender,location_city,location_state,acquisition_channel,acquisition_cost,subscription_tier,billing_cycle,payment_method,first_purchase_value,total_orders_to_date,total_revenue_to_date,last_order_date,days_since_last_order,customer_lifetime_months,subscription_status,churn_date,churn_reason,customer_support_tickets,nps_score,email_engagement_score,feature_usage_score,customer_segment
10046,2024-03-17,29,Female,Denver,CO,Organic Search,45,Basic,Annual,Bank Transfer,152.06,10,1450.98,2025-11-22 14:15:09.435725,110,24,Active,,,0,5.0,49.3,63.5,Growing
10047,2024-03-17,32,Female,New York,NY,Organic Search,45,Plus,Monthly,Credit Card,31.31,1,1267.28,2025-06-26 14:15:07.885039,259,24,Churned,2025-07-17 14:15:07.885039,Not using enough,4,,70.9,31.4,Churned
10048,2024-03-17,50,Female,Seattle,WA,Direct,0,Basic,Annual,Credit Card,93.43,3,816.36,2025-07-03 14:15:07.885039,252,24,Churned,2025-08-05 14:15:07.885039,Moved/relocated,2,1.0,41.7,18.5,Churned
10049,2024-03-17,42,Male,San Antonio,TX,Organic Search,45,Plus,Monthly,PayPal,96.14,1,1284.42,2025-09-28 14:15:09.435758,165,24,Active,,,1,3.0,72.0,84.4,Growing
10050,2024-03-17,22,Male,Phoenix,AZ,Paid Search,95,Basic,Annual,Credit Card,15.0,6,1009.23,2025-05-10 14:15:09.435768,306,24,Active,,,0,5.0,35.0,48.5,Growing
10051,2024-03-17,41,Female,Detroit,MI,Paid Social,85,Plus,Monthly,Apple Pay,19.57,9,1856.44,2025-08-03 14:15:09.435777,221,24,Active,,,2,7.0,42.9,79.7,High Value
10052,2024-03-18,33,Male,Dallas,TX,Referral,25,Plus,Annual,Bank Transfer,43.38,5,1493.92,2024-12-24 14:15:07.885039,443,24,Churned,2025-05-22 14:15:07.885039,Found competitor,1,4.0,19.2,26.5,Churned
10053,2024-03-18,29,Male,Atlanta,GA,Organic Search,45,Premium,Monthly,PayPal,119.97,4,2090.88,2026-01-03 14:15:09.435796,68,24,Active,,,0,1.0,48.0,62.2,High Value
10054,2024-03-18,45,Female,Portland,OR,Organic Search,45,Plus,Monthly,Bank Transfer,61.26,10,2320.95,2025-12-10 14:15:09.435805,92,24,Active,,,2,6.0,78.4,43.5,High Value
10055,2024-03-18,50,Male,Detroit,MI,Email Campaign,15,Basic,Monthly,Credit Card,121.3,3,826.57,2026-01-01 14:15:09.435814,70,24,Active,,,2,,87.2,68.3,Growing
10056,2024-03-18,49,Female,Detroit,MI,Email Campaign,15,Premium,Annual,PayPal,109.8,1,1793.51,2025-11-17 14:15:09.435823,115,24,Paused,,,1,10.0,61.1,84.0,High Value
10057,2024-03-18,27,Female,Dallas,TX,Direct,0,Plus,Monthly,PayPal,19.16,2,1363.98,2025-11-06 14:15:09.435833,126,24,Active,,,3,7.0,3.4,68.9,Growing
10058,2024-03-18,34,Female,San Antonio,TX,Direct,0,Plus,Annual,Credit Card,83.99,9,2005.64,2025-10-16 14:15:09.435841,147,24,Active,,,0,8.0,92.1,35.8,High Value
10059,2024-03-18,41,Male,Boston,MA,Referral,25,Premium,Monthly,Apple Pay,78.19,8,2723.37,2025-06-26 14:15:09.435850,259,24,Active,,,2,7.0,16.5,29.8,High Value
10060,2024-03-19,49,Male,San Diego,CA,Paid Social,85,Basic,Monthly,Bank Transfer,66.42,10,1290.68,2025-04-24 14:15:09.435859,322,24,Active,,,1,4.0,45.1,76.1,Growing
10061,2024-03-19,32,Female,Los Angeles,CA,Direct,0,Basic,Monthly,Apple Pay,27.03,3,912.47,2025-04-24 14:15:07.885039,322,24,Churned,2025-08-30 14:15:07.885039,Financial reasons,2,5.0,61.4,14.4,Churned
10062,2024-03-19,35,Male,Austin,TX,Referral,25,Plus,Monthly,PayPal,99.77,6,1823.47,2025-07-27 14:15:09.435880,228,24,Active,,,2,9.0,68.3,41.5,High Value
10063,2024-03-19,24,Male,Minneapolis,MN,Paid Search,95,Plus,Annual,Credit Card,82.43,4,1488.07,2025-08-08 14:15:09.435889,216,24,Active,,,3,8.0,55.7,7.4,Growing
10064,2024-03-19,23,Male,San Antonio,TX,Direct,0,Basic,Monthly,Credit Card,129.97,7,1211.9,2024-08-25 14:15:07.885039,564,24,Churned,2025-04-09 14:15:07.885039,Product quality,4,,32.0,51.6,Churned
10065,2024-03-19,47,Male,San Jose,CA,Organic Search,45,Plus,Annual,Credit Card,114.47,7,1887.61,2025-09-22 14:15:09.435909,171,24,Active,,,3,,74.3,82.5,High Value
10066,2024-03-19,54,Male,Houston,TX,Paid Social,85,Basic,Monthly,Credit Card,67.73,8,1174.1,2025-02-25 14:15:09.435918,380,24,Active,,,0,,88.6,81.7,Growing
10067,2024-03-19,37,Female,Miami,FL,Email Campaign,15,Plus,Monthly,Credit Card,38.18,1,1218.24,2025-09-25 14:15:09.435928,168,24,Active,,,1,9.0,74.4,15.5,Growing
10068,2024-03-20,50,Male,New York,NY,Referral,25,Plus,Annual,PayPal,39.74,3,1217.76,2025-10-07 14:15:09.435936,156,24,Active,,,0,1.0,38.3,77.2,Growing
10069,2024-03-20,42,Male,Atlanta,GA,Email Campaign,15,Basic,Monthly,PayPal,127.75,4,1107.73,2025-01-12 14:15:07.885039,424,24,Churned,2025-03-18 14:15:07.885039,Moved/relocated,2,0.0,76.4,26.5,Churned
10070,2024-03-20,30,Female,Chicago,IL,Direct,0,Plus,Monthly,Credit Card,30.72,0,1176.0,,0,24,Churned,2025-03-02 14:15:07.885039,Product quality,1,,33.6,22.7,Churned
10071,2024-03-20,42,Other,San Diego,CA,Paid Social,85,Plus,Monthly,Credit Card,40.1,4,1558.58,2024-10-13 14:15:07.885039,515,24,Churned,2024-12-03 14:15:07.885039,Product quality,2,5.0,7.6,78.6,Churned
10072,2024-03-20,56,Male,Boston,MA,Organic Search,45,Basic,Monthly,Credit Card,37.36,1,759.27,2025-08-01 14:15:09.435970,223,24,Active,,,1,,22.5,76.4,Growing
10073,2024-03-20,37,Male,Atlanta,GA,Organic Search,45,Basic,Annual,PayPal,51.16,3,795.9,2025-10-19 14:15:09.435979,144,24,Active,,,2,,39.3,59.1,Growing
10074,2024-03-20,56,Female,Portland,OR,Email Campaign,15,Basic,Annual,Apple Pay,52.27,9,1432.62,2025-03-22 14:15:09.435989,355,24,Active,,,0,3.0,49.8,75.5,Growing
10075,2024-03-20,22,Female,San Antonio,TX,Referral,25,Plus,Annual,PayPal,78.48,1,1153.22,2025-11-24 14:15:09.435997,108,24,Active,,,1,3.0,51.5,85.1,Growing
10076,2024-03-21,47,Female,Los Angeles,CA,Paid Social,85,Basic,Annual,Credit Card,56.16,1,692.58,2024-10-21 14:15:07.885039,507,24,Churned,2025-01-06 14:15:07.885039,Moved/relocated,0,,66.8,38.3,Churned
10077,2024-03-21,39,Female,Dallas,TX,Referral,25,Basic,Monthly,Credit Card,59.2,8,1025.59,2025-07-05 14:15:09.436018,250,24,Active,,,1,6.0,40.0,58.6,Growing
10078,2024-03-21,34,Male,Atlanta,GA,Organic Search,45,Basic,Monthly,PayPal,134.1,4,1136.15,2025-06-13 14:15:09.436026,272,24,Active,,,4,7.0,64.6,33.8,Growing
10079,2024-03-21,39,Female,Chicago,IL,Organic Search,45,Basic,Annual,Credit Card,62.36,4,1066.7,2025-11-07 14:15:09.436035,125,24,Active,,,1,8.0,61.0,86.5,Growing
10080,2024-03-21,22,Male,San Antonio,TX,Referral,25,Plus,Monthly,Apple Pay,42.55,1,1220.57,2026-02-06 14:15:09.436044,34,24,Active,,,0,9.0,61.3,85.6,Growing
10081,2024-03-22,35,Female,Boston,MA,Paid Social,85,Plus,Monthly,Credit Card,143.73,10,1686.22,2025-12-05 14:15:09.436053,97,24,Active,,,2,8.0,59.4,95.0,High Value
10082,2024-03-22,42,Female,San Jose,CA,Referral,25,Basic,Annual,Credit Card,35.29,7,1456.88,2025-10-12 14:15:09.436062,151,24,Active,,,0,1.0,63.2,46.0,Growing
10083,2024-03-22,55,Other,Houston,TX,Direct,0,Plus,Monthly,Credit Card,64.53,17,2400.71,2025-07-08 14:15:09.436071,247,24,Active,,,1,9.0,87.5,53.5,High Value
10084,2024-03-22,31,Male,Los Angeles,CA,Direct,0,Plus,Monthly,PayPal,75.01,8,1676.62,2025-12-18 14:15:09.436080,84,24,Active,,,1,7.0,84.7,84.0,High Value
10085,2024-03-22,28,Male,Atlanta,GA,Organic Search,45,Basic,Annual,Credit Card,116.21,0,626.4,,0,24,Churned,2024-12-31 14:15:07.885039,Financial reasons,7,3.0,15.9,16.7,Churned
10086,2024-03-22,31,Female,Detroit,MI,Email Campaign,15,Basic,Monthly,Credit Card,41.88,3,972.96,2025-11-05 14:15:09.436091,127,24,Active,,,2,,46.8,,Growing
10087,2024-03-22,48,Female,Minneapolis,MN,Referral,25,Premium,Annual,Credit Card,62.61,12,2885.92,2026-02-08 14:15:09.436102,32,24,Active,,,1,9.0,12.5,47.0,High Value
10088,2024-03-22,41,Female,Detroit,MI,Direct,0,Plus,Monthly,Credit Card,190.34,2,1317.23,2025-08-17 14:15:07.885039,207,24,Churned,2025-11-23 14:15:07.885039,Poor support,4,6.0,21.8,81.6,Churned
10089,2024-03-22,31,Male,Phoenix,AZ,Direct,0,Plus,Monthly,Apple Pay,71.98,3,1532.96,2026-01-26 14:15:09.436123,45,24,Active,,,2,,56.8,64.2,High Value
10090,2024-03-23,44,Male,San Antonio,TX,Organic Search,45,Basic,Monthly,Credit Card,113.09,3,841.22,2025-07-26 14:15:09.436132,229,23,Active,,,3,,58.9,58.7,Growing
10091,2024-03-23,39,Female,Houston,TX,Organic Search,45,Plus,Annual,Credit Card,349.01,5,1347.72,2025-12-25 14:15:09.436140,77,23,Active,,,1,5.0,69.4,88.0,Growing
10092,2024-03-23,49,Male,Tampa,FL,Email Campaign,15,Plus,Monthly,Credit Card,267.46,3,1474.87,2025-01-29 14:15:07.885039,407,23,Churned,2025-02-04 14:15:07.885039,Poor support,1,1.0,35.7,7.4,Churned
10093,2024-03-23,29,Female,Detroit,MI,Referral,25,Plus,Monthly,Credit Card,68.1,9,1921.01,2026-01-06 14:15:09.436160,65,23,Active,,,1,9.0,42.3,35.6,High Value
10094,2024-03-23,34,Male,New York,NY,Paid Social,85,Premium,Monthly,PayPal,52.64,5,2037.98,2025-03-07 14:15:09.436169,370,23,Active,,,2,9.0,43.2,59.7,High Value
10095,2024-03-23,33,Female,Portland,OR,Organic Search,45,Premium,Monthly,Credit Card,57.42,1,1868.0,2024-07-13 14:15:07.885039,607,23,Churned,2025-03-27 14:15:07.885039,Found competitor,6,3.0,93.1,67.5,Churned
10096,2024-03-24,22,Female,Dallas,TX,Referral,25,Premium,Monthly,PayPal,81.8,15,2619.81,2025-08-21 14:15:09.436190,203,23,Active,,,0,2.0,6.5,81.4,High Value
10097,2024-03-24,41,Female,New York,NY,Paid Social,85,Basic,Monthly,Bank Transfer,150.09,4,1028.88,2025-04-26 14:15:07.885039,320,23,Churned,2025-12-04 14:15:07.885039,Price too high,3,5.0,35.8,43.1,Churned
10098,2024-03-24,41,Male,Seattle,WA,Organic Search,45,Premium,Monthly,Credit Card,89.83,22,3870.15,2026-01-01 14:15:09.436210,70,23,Active,,,0,6.0,52.3,92.0,High Value
10099,2024-03-24,38,Female,Boston,MA,Organic Search,45,Basic,Monthly,Bank Transfer,77.57,12,1671.75,2025-05-23 14:15:09.436219,293,23,Paused,,,2,9.0,1.3,81.9,High Value
10100,2024-03-24,35,Male,Minneapolis,MN,Paid Social,85,Premium,Monthly,Apple Pay,32.27,0,1817.0,,0,23,Churned,2025-09-25 14:15:07.885039,Price too high,3,,43.7,9.0,Churned
10101,2024-03-24,22,Female,Portland,OR,Email Campaign,15,Basic,Monthly,Credit Card,71.29,3,966.85,2024-09-03 14:15:07.885039,555,23,Churned,2025-02-07 14:15:07.885039,Product quality,4,4.0,66.3,70.1,Churned
10102,2024-03-24,32,Male,Houston,TX,Paid Social,85,Plus,Monthly,Credit Card,47.08,7,1916.54,2025-04-17 14:15:09.436241,329,23,At Risk,,,2,6.0,27.7,93.9,At Risk
10103,2024-03-24,33,Male,Phoenix,AZ,Organic Search,45,Basic,Monthly,Bank Transfer,24.46,6,1215.94,2025-04-24 14:15:09.436250,322,23,Active,,,3,2.0,53.2,44.3,Growing
10104,2024-03-24,28,Male,San Antonio,TX,Organic Search,45,Plus,Monthly,PayPal,32.77,9,1977.39,2025-04-16 14:15:09.436259,330,23,Active,,,1,2.0,42.5,77.2,High Value
10105,2024-03-24,36,Male,San Diego,CA,Paid Social,85,Basic,Annual,Credit Card,121.81,3,742.6,2024-04-19 14:15:07.885039,692,23,Churned,2025-02-27 14:15:07.885039,Not using enough,3,2.0,68.8,34.8,Churned
10106,2024-03-25,42,Other,San Diego,CA,Referral,25,Basic,Monthly,Credit Card,161.77,0,667.0,,0,23,Churned,2025-02-18 14:15:07.885039,Product quality,5,2.0,53.5,90.0,Churned
10107,2024-03-25,60,Male,Dallas,TX,Organic Search,45,Plus,Monthly,PayPal,80.43,5,1337.62,2025-05-26 14:15:09.436281,290,23,Active,,,1,2.0,27.5,87.9,Growing
10108,2024-03-25,40,Female,New York,NY,Email Campaign,15,Plus,Monthly,Credit Card,47.97,12,2102.85,2025-04-16 14:15:09.436290,330,23,Active,,,1,10.0,38.8,74.5,High Value
10109,2024-03-25,41,Other,San Antonio,TX,Organic Search,45,Basic,Annual,PayPal,75.73,1,664.22,2025-08-08 14:15:09.436299,216,23,Active,,,1,7.0,47.6,22.2,Growing
10110,2024-03-25,37,Male,San Antonio,TX,Organic Search,45,Basic,Annual,PayPal,39.53,5,851.46,2025-03-22 14:15:09.436308,355,23,Active,,,3,9.0,55.2,84.6,Growing
10111,2024-03-25,22,Female,Boston,MA,Organic Search,45,Basic,Monthly,Bank Transfer,15.0,2,807.55,2025-04-09 14:15:09.436316,337,23,Active,,,1,,55.5,61.3,Growing
10112,2024-03-25,37,Male,Philadelphia,PA,Organic Search,45,Plus,Annual,PayPal,16.4,9,1470.04,2026-02-06 14:15:09.436326,34,23,Active,,,0,,10.4,41.3,Growing
10113,2024-03-25,38,Male,San Jose,CA,Referral,25,Premium,Monthly,PayPal,25.52,2,2056.5,2025-12-06 14:15:09.436334,96,23,Active,,,0,10.0,45.9,53.1,High Value
10114,2024-03-25,67,Male,Minneapolis,MN,Email Campaign,15,Plus,Monthly,PayPal,29.53,13,2010.05,2025-10-12 14:15:09.436343,151,23,Active,,,3,,76.7,,High Value
10115,2024-03-25,35,Female,Portland,OR,Direct,0,Basic,Monthly,Credit Card,132.31,0,667.0,,0,23,Churned,2025-09-06 14:15:07.885039,Poor support,5,4.0,49.6,12.3,Churned
10116,2024-03-25,41,Male,Detroit,MI,Organic Search,45,Basic,Monthly,PayPal,76.14,8,1055.14,2025-10-23 14:15:09.436355,140,23,Active,,,0,7.0,13.3,67.5,Growing
10117,2024-03-25,37,Female,San Diego,CA,Organic Search,45,Premium,Monthly,PayPal,15.0,2,2029.78,2025-06-25 14:15:09.436364,260,23,Active,,,0,,84.2,86.9,High Value
10118,2024-03-25,23,Female,Denver,CO,Paid Social,85,Basic,Monthly,Bank Transfer,181.26,2,826.1,2024-07-31 14:15:07.885039,589,23,Churned,2025-01-22 14:15:07.885039,Price too high,7,2.0,16.8,66.5,Churned
10119,2024-03-26,51,Female,Philadelphia,PA,Direct,0,Plus,Monthly,PayPal,50.32,8,1451.06,2025-11-12 14:15:09.436383,120,23,Active,,,0,0.0,42.0,72.5,Growing
10120,2024-03-26,47,Male,Tampa,FL,Paid Social,85,Basic,Annual,PayPal,59.48,3,764.93,2025-03-08 14:15:09.436419,369,23,Active,,,1,,89.3,50.1,Growing
10121,2024-03-26,47,Female,San Jose,CA,Paid Social,85,Plus,Monthly,Credit Card,50.39,7,1751.39,2024-07-13 14:15:07.885039,607,23,Churned,2025-05-06 14:15:07.885039,Price too high,4,0.0,74.3,25.5,Churned
10122,2024-03-26,27,Female,Minneapolis,MN,Paid Social,85,Premium,Monthly,Bank Transfer,139.12,3,2081.38,2025-10-01 14:15:07.885039,162,23,Churned,2025-10-16 14:15:07.885039,Financial reasons,3,,59.6,73.9,Churned
10123,2024-03-26,54,Female,San Jose,CA,Organic Search,45,Basic,Monthly,Credit Card,118.14,1,740.82,2024-10-23 14:15:07.885039,505,23,Churned,2025-10-22 14:15:07.885039,Found competitor,4,,22.8,39.0,Churned
10124,2024-03-26,22,Female,San Antonio,TX,Paid Search,95,Plus,Monthly,Apple Pay,49.32,6,1632.7,2025-09-29 14:15:09.436465,164,23,Active,,,3,8.0,68.4,85.6,High Value
10125,2024-03-26,45,Female,Dallas,TX,Email Campaign,15,Plus,Monthly,Credit Card,25.76,3,1386.96,2025-03-16 14:15:09.436475,361,23,Active,,,0,,84.9,,Growing
10126,2024-03-26,64,Male,Houston,TX,Direct,0,Basic,Monthly,Credit Card,187.54,14,2318.38,2025-06-01 14:15:09.436484,284,23,Active,,,1,,31.7,90.9,High Value
10127,2024-03-26,26,Male,Tampa,FL,Referral,25,Basic,Monthly,Bank Transfer,157.72,8,1377.22,2024-09-14 14:15:07.885039,544,23,Churned,2025-02-27 14:15:07.885039,Poor support,5,,49.2,25.4,Churned
10128,2024-03-26,31,Male,Seattle,WA,Email Campaign,15,Plus,Monthly,PayPal,36.23,5,1529.88,2025-08-16 14:15:09.436505,208,23,Active,,,0,10.0,77.2,58.3,High Value
10129,2024-03-27,39,Male,Philadelphia,PA,Organic Search,45,Basic,Annual,PayPal,91.44,10,1664.68,2025-12-01 14:15:09.436514,101,23,Active,,,0,7.0,23.1,28.4,High Value
10130,2024-03-27,31,Male,Denver,CO,Referral,25,Plus,Monthly,Credit Card,46.72,4,1312.95,2024-12-28 14:15:07.885039,439,23,Churned,2025-02-23 14:15:07.885039,Found competitor,0,6.0,41.5,33.0,Churned
10131,2024-03-27,22,Male,Houston,TX,Organic Search,45,Basic,Monthly,Bank Transfer,154.73,2,779.42,2025-05-28 14:15:07.885039,288,23,Churned,2025-10-28 14:15:07.885039,Poor support,1,4.0,43.0,67.1,Churned
10132,2024-03-27,38,Male,San Jose,CA,Paid Social,85,Basic,Monthly,PayPal,147.33,3,910.79,2025-11-01 14:15:09.436584,131,23,Active,,,2,,41.2,91.3,Growing
10133,2024-03-27,25,Other,Phoenix,AZ,Referral,25,Basic,Annual,Credit Card,57.38,7,1292.74,2025-12-08 14:15:09.436594,94,23,Active,,,0,8.0,47.5,,Growing
